,country,iso_code,date,daily_vaccinations,people_vaccinated,people_vaccinated_per_hundred,vaccines
21261,Norway,NOR,2020-12-02,,0.0,0.0,"Moderna, Pfizer/BioNTech"
21262,Norway,NOR,2020-12-03,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech"
21263,Norway,NOR,2020-12-04,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech"
15647,Latvia,LVA,2020-12-04,,1.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
15648,Latvia,LVA,2020-12-05,0.0,2.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
21264,Norway,NOR,2020-12-05,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech"
15649,Latvia,LVA,2020-12-06,0.0,2.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
21265,Norway,NOR,2020-12-06,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech"
21266,Norway,NOR,2020-12-07,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech"
15650,Latvia,LVA,2020-12-07,0.0,2.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
15651,Latvia,LVA,2020-12-08,0.0,2.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
21267,Norway,NOR,2020-12-08,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech"
8434,England,OWID_ENG,2020-12-08,,5316.0,0.01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
24860,Scotland,OWID_SCT,2020-12-08,,1897.0,0.03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
15652,Latvia,LVA,2020-12-09,0.0,2.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
24861,Scotland,OWID_SCT,2020-12-09,3838.0,5735.0,0.1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
21268,Norway,NOR,2020-12-09,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech"
8435,England,OWID_ENG,2020-12-09,9608.0,14924.0,0.03,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
24862,Scotland,OWID_SCT,2020-12-10,4384.0,10665.0,0.2,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
8436,England,OWID_ENG,2020-12-10,10729.0,26774.0,0.05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
15653,Latvia,LVA,2020-12-10,0.0,2.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
21269,Norway,NOR,2020-12-10,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech"
24863,Scotland,OWID_SCT,2020-12-11,4678.0,15932.0,0.29,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
8437,England,OWID_ENG,2020-12-11,11327.0,39296.0,0.07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
15654,Latvia,LVA,2020-12-11,0.0,2.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
21270,Norway,NOR,2020-12-11,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech"
24864,Scotland,OWID_SCT,2020-12-12,4040.0,18059.0,0.33,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
8438,England,OWID_ENG,2020-12-12,11148.0,49909.0,0.09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
21271,Norway,NOR,2020-12-12,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech"
15655,Latvia,LVA,2020-12-12,0.0,2.0,0.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
21045,Northern Ireland,OWID_NIR,2020-12-13,,3623.0,0.19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
21272,Norway,NOR,2020-12-13,0.0,0.0,0.0,"Moderna, Pfizer/BioNTech"
